28,0.038
52,0.039
65,0.040
83,0.042
96,0.043
115,0.043
120,0.042
130,0.042
141,0.042
145,0.043
158,0.043
166,0.043
173,0.044
178,0.044
181,0.043
187,0.043
192,0.043
194,0.044
199,0.045
203,0.045
209,0.044
216,0.052
222,0.047
228,0.046
234,0.047
238,0.046
241,0.045
253,0.045
258,0.048
264,0.048
267,0.049
268,0.048
274,0.046
278,0.049
282,0.046
288,0.047
291,0.047
301,0.047
301,0.048
307,0.051
310,0.049
317,0.049
318,0.049
322,0.051
329,0.050
328,0.050
328,0.049
332,0.049
334,0.051
338,0.051
342,0.050
347,0.051
354,0.050
358,0.051
361,0.052
364,0.049
367,0.051
371,0.051
374,0.050
380,0.051
385,0.052
386,0.055
393,0.051
396,0.052
400,0.052
405,0.052
407,0.055
414,0.053
414,0.056
421,0.057
425,0.053
430,0.051
435,0.053
433,0.053
436,0.055
440,0.053
439,0.051
443,0.053
445,0.055
445,0.054
451,0.053
458,0.055
460,0.058
466,0.055
468,0.054
470,0.058
471,0.055
473,0.054
482,0.054
486,0.053
488,0.057
484,0.055
485,0.055
487,0.054
493,0.057
498,0.054
501,0.054
503,0.055
508,0.059
514,0.055
513,0.054
518,0.057
520,0.058
526,0.058
522,0.056
523,0.057
522,0.057
532,0.060
535,0.057
537,0.057
540,0.057
541,0.059
543,0.057
548,0.057
551,0.059
555,0.058
558,0.056
560,0.059
561,0.072
566,0.082
566,0.084
572,0.083
574,0.072
577,0.060
581,0.060
582,0.062
584,0.060
586,0.061
585,0.061
583,0.067
585,0.058
584,0.058
588,0.058
588,0.062
591,0.058
592,0.059
597,0.061
604,0.059
607,0.058
608,0.059
610,0.061
611,0.061
618,0.061
621,0.061
623,0.062
625,0.062
624,0.061
626,0.061
631,0.060
629,0.059
633,0.062
635,0.063
636,0.060
638,0.059
642,0.061
644,0.060
647,0.061
650,0.059
655,0.060
658,0.061
662,0.060
666,0.064
669,0.061
676,0.060
679,0.060
678,0.062
675,0.066
679,0.060
680,0.060
678,0.061
685,0.061
683,0.060
689,0.061
690,0.064
688,0.062
694,0.061
696,0.064
697,0.062
697,0.059
698,0.060
698,0.062
700,0.066
701,0.063
704,0.063
705,0.063
705,0.064
709,0.063
712,0.065
714,0.066
722,0.063
717,0.064
721,0.065
719,0.062
721,0.063
720,0.065
720,0.063
719,0.064
721,0.063
724,0.063
724,0.061
729,0.062
731,0.064
735,0.065
737,0.063
738,0.061
739,0.070
745,0.065
739,0.070
741,0.063
744,0.064
746,0.063
748,0.063
749,0.065
753,0.066
755,0.063
754,0.063
750,0.064
751,0.062
747,0.063
750,0.061
750,0.064
746,0.065
753,0.064
755,0.064
757,0.065
757,0.064
759,0.066
750,0.065
755,0.064
757,0.063
754,0.064
757,0.065
758,0.063
752,0.063
757,0.062
759,0.066
758,0.063
763,0.063
766,0.065
768,0.064
764,0.063
766,0.064
768,0.068
766,0.066
771,0.066
771,0.065
771,0.064
775,0.066
775,0.065
774,0.065
780,0.066
782,0.064
779,0.065
781,0.064
781,0.064
782,0.064
784,0.065
783,0.064
785,0.066
783,0.062
784,0.063
787,0.065
787,0.065
788,0.068
791,0.065
795,0.064
795,0.067
792,0.065
794,0.065
790,0.068
791,0.068
794,0.066
792,0.065
793,0.066
793,0.066
796,0.065
796,0.066
798,0.067
800,0.065
802,0.064
803,0.065
803,0.066
808,0.065
811,0.066
815,0.068
817,0.065
818,0.066
815,0.066
818,0.065
815,0.065
813,0.065
816,0.068
817,0.066
817,0.065
815,0.065
816,0.077
818,0.069
819,0.066
817,0.069
819,0.065
822,0.066
821,0.067
826,0.065
828,0.065
831,0.065
834,0.067
833,0.066
836,0.065
840,0.067
844,0.067
845,0.066
851,0.067
850,0.067
848,0.067
850,0.067
852,0.065
852,0.064
855,0.065
856,0.065
856,0.068
857,0.067
856,0.067
857,0.066
859,0.066
860,0.067
861,0.067
857,0.067
854,0.066
855,0.068
851,0.067
853,0.066
853,0.066
857,0.067
854,0.069
850,0.067
854,0.066
854,0.068
857,0.068
854,0.065
855,0.068
858,0.065
864,0.067
863,0.067
864,0.067
868,0.066
866,0.066
871,0.068
871,0.070
869,0.068
866,0.067
862,0.067
867,0.065
864,0.066
862,0.070
857,0.066
854,0.067
858,0.066
858,0.066
861,0.068
860,0.064
857,0.065
860,0.067
859,0.067
860,0.068
860,0.067
857,0.066
857,0.068
859,0.070
859,0.066
860,0.067
860,0.072
857,0.066
859,0.066
856,0.066
859,0.070
860,0.066
862,0.066
863,0.067
864,0.065
863,0.066
868,0.068
869,0.068
871,0.066
871,0.068
872,0.066
874,0.066
873,0.069
878,0.067
879,0.069
880,0.067
880,0.068
877,0.066
873,0.065
872,0.067
871,0.067
872,0.066
869,0.066
869,0.066
874,0.065
874,0.067
876,0.067
875,0.067
874,0.071
873,0.066
873,0.067
871,0.065
869,0.066
870,0.067
871,0.066
869,0.068
869,0.066
870,0.069
873,0.066
879,0.066
879,0.067
881,0.069
880,0.067
879,0.067
882,0.066
885,0.066
887,0.067
885,0.068
884,0.068
886,0.069
890,0.067
885,0.067
889,0.067
896,0.069
896,0.068
888,0.069
890,0.068
889,0.067
888,0.067
886,0.066
884,0.065
886,0.067
883,0.074
883,0.076
884,0.079
887,0.087
892,0.082
894,0.072
901,0.068
903,0.070
902,0.071
903,0.070
903,0.069
906,0.068
904,0.069
899,0.070
897,0.070
900,0.068
898,0.067
896,0.066
900,0.067
899,0.070
904,0.068
908,0.068
904,0.068
904,0.065
908,0.067
908,0.069
907,0.068
910,0.068
914,0.067
912,0.069
